station_name,start_point_rides_count,end_point_rides_count
1 Ave & E 68 St,0.0,1.0
10 Ave & W 14 St,0.0,7.0
11 Ave & W 27 St,1.0,0.0
11 St & Washington St,3339.0,3263.0
12 Ave & W 40 St,0.0,15.0
12 St & Sinatra Dr N,2741.0,2862.0
14 St Ferry - 14 St & Shipyard Ln,2795.0,2786.0
2 St & Park Ave,1927.0,1895.0
23 St & 31 Ave,2.0,2.0
3 Ave & E 71 St,1.0,1.0
31 Ave & Crescent St,3.0,3.0
39 Dr & 52 St,2.0,2.0
4 St & Grand St,2138.0,2087.0
4 St & River St,2461.0,2402.0
46 St & Queens Blvd,1.0,1.0
5 Ave & E 87 St,1.0,1.0
5 Corners Library,638.0,529.0
53 St & Roosevelt Ave,1.0,0.0
6 Ave & Broome St,1.0,2.0
6 Ave & W 33 St,1.0,4.0
6 Ave & Walker St,0.0,3.0
6 St & Grand St,1832.0,1802.0
7 Ave & Central Park South,0.0,2.0
7 St & Monroe St,2267.0,2336.0
8 Ave & W 16 St,0.0,1.0
8 Ave & W 31 St,0.0,1.0
8 Ave & W 38 St,0.0,1.0
8 St & Washington St,3475.0,3419.0
81 St & 35 Ave,1.0,0.0
9 St HBLR - Jackson St & 8 St,2581.0,2627.0
Adam Clayton Powell Blvd & W 123 St,1.0,1.0
Adams St & 12 St,764.0,790.0
Adams St & 2 St,2212.0,2209.0
Allen St & Rivington St,0.0,1.0
Amsterdam Ave & W 73 St,1.0,0.0
Amsterdam Ave & W 82 St,2.0,0.0
Astor Place,719.0,701.0
Ave A & E 14 St,0.0,1.0
Baldwin at Montgomery,1205.0,1171.0
Bank St & Hudson St,0.0,1.0
Bank St & Washington St,0.0,1.0
Barclay St & Church St,0.0,1.0
Barrow St & Hudson St,0.0,2.0
Bayard St & Baxter St,0.0,1.0
Bedford Ave & Montgomery St,0.0,1.0
Bergen Ave,1009.0,954.0
Bergen Ave & Sip Ave,3508.0,3442.0
Bergen Ave & Stegman St,195.0,219.0
Bleecker St & Crosby St,1.0,3.0
Bloomfield St & 15 St,1951.0,2006.0
Boston Rd & Prospect Ave,0.0,1.0
Broadway & Battery Pl,0.0,1.0
Broadway & Morris St,1.0,1.0
Broadway & W 160 St,0.0,1.0
Broadway & W 168 St,0.0,2.0
Broadway & W 25 St,0.0,2.0
Broadway & W 36 St,1.0,3.0
Broadway & W 37 St,0.0,1.0
Broadway & W 38 St,0.0,1.0
Brunswick & 6th,1481.0,1478.0
Brunswick St,1693.0,1552.0
Bushwick Ave & Stagg St,0.0,1.0
Carmine St & 6 Ave,0.0,1.0
Carroll St & Bond St,0.0,1.0
Cathedral Pkwy & Broadway,0.0,2.0
Central Park S & 6 Ave,0.0,1.0
Central Park W & W 91 St,1.0,1.0
Central Park West & W 68 St,0.0,1.0
Centre St & Chambers St,0.0,2.0
Christ Hospital,901.0,823.0
Church Sq Park - 5 St & Park Ave,2288.0,2252.0
City Hall,2652.0,2641.0
City Hall - Washington St & 1 St,4085.0,4121.0
Cleveland Pl & Spring St,0.0,1.0
Cliff St & Fulton St,0.0,1.0
Clinton St & 7 St,2876.0,2884.0
Clinton St & Newark St,2081.0,2082.0
Columbia St & Kane St,0.0,1.0
Columbus Drive,2426.0,2426.0
Columbus Park - Clinton St & 9 St,3436.0,3455.0
Communipaw & Berry Lane,666.0,687.0
Congress St & Hicks St,0.0,1.0
Crescent St & 35 Ave,1.0,1.0
Crescent St & Broadway,2.0,3.0
Dey St,525.0,491.0
Dixon Mills,1132.0,1124.0
E 1 St & Bowery,0.0,1.0
E 12 St & 3 Ave,0.0,1.0
E 13 St & 2 Ave,1.0,1.0
E 167 St & Bryant Ave,1.0,1.0
E 17 St & Broadway,0.0,1.0
E 2 St & 2 Ave,0.0,1.0
E 22 St & 2 Ave,0.0,1.0
E 27 St & Park Ave S,0.0,1.0
E 39 St & Lexington Ave,0.0,1.0
E 41 St & Madison Ave (SE corner),1.0,8.0
E 43 St & Madison Ave,0.0,4.0
E 47 St & Park Ave,0.0,1.0
E 48 St & 5 Ave,0.0,1.0
E 5 St & Cooper Sq,0.0,3.0
E 50 St & Park Ave,0.0,1.0
E 51 St & 2 Ave,0.0,2.0
E 53 St & Madison Ave,0.0,2.0
E 56 St & 3 Ave,0.0,1.0
E 56 St & Madison Ave,0.0,1.0
E 68 St & 3 Ave,0.0,1.0
E 81 St & 1 Ave,0.0,1.0
E 95 St & 3 Ave,1.0,1.0
Essex Light Rail,1109.0,914.0
Exchange Pl,2972.0,2987.0
Fairmount Ave,1133.0,916.0
Freeman St & Southern Blvd,1.0,1.0
Fulton Ave & E 168 St,1.0,1.0
Fulton St & Adams St,1.0,0.0
Fulton St & Broadway,0.0,10.0
Fulton St & Irving Pl,0.0,1.0
Glenwood Ave,724.0,616.0
Grand St,1883.0,1833.0
Grand St & 14 St,2356.0,2386.0
Grant Ave & MLK Dr,80.0,101.0
Great Jones St,0.0,1.0
Greene Ave & Nostrand Ave,1.0,0.0
Greenwich Ave & 8 Ave,0.0,1.0
Greenwich St & Hubert St,0.0,37.0
Greenwich St & Perry St,0.0,1.0
Greenwich St & Rector St,0.0,1.0
Greenwich St & W Houston St,0.0,3.0
Grove St PATH,7940.0,9256.0
Hamilton Park,3818.0,3787.0
Harborside,2487.0,2388.0
Heights Elevator,687.0,599.0
Hilltop,998.0,792.0
Hoboken Ave at Monmouth St,2985.0,3139.0
Hoboken Terminal - Hudson St & Hudson Pl,4774.0,4800.0
Hoboken Terminal - River St & Hudson Pl,8049.0,8177.0
Hudson St & W 13 St,0.0,2.0
JC Medical Center,1801.0,1815.0
Jackson Square,336.0,346.0
Jefferson Ave & Evergreen Ave,0.0,1.0
Jersey & 3rd,1534.0,1496.0
Jersey & 6th St,1036.0,1040.0
Journal Square,1487.0,1458.0
Lafayette Park,1334.0,1338.0
Lafayette St & Grand St,0.0,1.0
Lafayette St & Jersey St,0.0,17.0
Leonard Gordon Park,773.0,675.0
Lexington Ave & E 120 St,0.0,1.0
Liberty Light Rail,2461.0,2482.0
Liberty St & Broadway,0.0,4.0
Lincoln Park,343.0,395.0
Lispenard St & Broadway,0.0,1.0
Lorimer St & Broadway,0.0,1.0
MacDougal St & Prince St,0.0,1.0
Madison Ave & E 26 St,0.0,1.0
Madison St & 1 St,2506.0,2430.0
Madison St & 10 St,2049.0,2189.0
Maiden Ln & Pearl St,0.0,11.0
Mama Johnson Field - 4 St & Jackson St,1481.0,1516.0
Manila & 1st,2251.0,2308.0
Marin Light Rail,3008.0,2875.0
Marshall St & 2 St,2431.0,2438.0
McGinley Square,1671.0,1348.0
Mercer St & Bleecker St,0.0,1.0
Mercer St & Spring St,0.0,8.0
Monmouth and 6th,1135.0,1141.0
Montgomery St,1190.0,1207.0
Morris Canal,1628.0,1603.0
Mott St & Prince St,0.0,1.0
Murray St & West St,1.0,2.0
N Moore St & Hudson St,0.0,1.0
Newark Ave,2448.0,2446.0
Newport PATH,3938.0,3959.0
Newport Pkwy,3377.0,3378.0
North Moore St & Greenwich St,1.0,14.0
Oakland Ave,1130.0,952.0
Paulus Hook,1572.0,1535.0
Pearl St & Hanover Square,0.0,1.0
Pearl St & York St,0.0,1.0
Peck Slip & South St,0.0,1.0
Pershing Field,1245.0,1250.0
Pike St & Monroe St,0.0,1.0
Prospect Ave & E 167 St,1.0,1.0
Queens Plaza North & Crescent St,0.0,1.0
River St & 1 St,2622.0,2666.0
River Ter & Warren St,0.0,10.0
Riverside Dr & W 153 St,0.0,1.0
Riverview Park,1142.0,1128.0
Schermerhorn St & Court St,0.0,1.0
South End Ave & Albany St,0.0,3.0
South Waterfront Walkway - Sinatra Dr & 1 St,4105.0,4119.0
Southwest Park - Jackson St & Observer Hwy,2228.0,2264.0
Spring St & Hudson St,0.0,4.0
Spruce St & Nassau St,0.0,2.0
St Ann's Ave & Bruckner Blvd,1.0,1.0
Stagg St & Morgan Ave,0.0,1.0
Stevens - River Ter & 6 St,2600.0,2508.0
Union St,349.0,393.0
University Pl & E 14 St,0.0,1.0
Van Vorst Park,1860.0,1845.0
Vesey Pl & River Terrace,2.0,22.0
Vesey St & Church St,1.0,8.0
W 10 St & Washington St,0.0,1.0
W 116 St & Broadway,0.0,1.0
W 13 St & 5 Ave,2.0,0.0
W 15 St & 10 Ave,0.0,1.0
W 16 St & The High Line,0.0,3.0
W 18 St & 9 Ave,0.0,1.0
W 180 St & Ft Washington Ave,0.0,2.0
W 181 St & Riverside Dr,0.0,1.0
W 20 St & 10 Ave,0.0,1.0
W 22 St & 10 Ave,1.0,0.0
W 24 St & 7 Ave,0.0,2.0
W 30 St & 10 Ave,1.0,0.0
W 34 St & 11 Ave,0.0,3.0
W 34 St & Hudson Blvd E,0.0,2.0
W 36 St & 9 Ave,0.0,1.0
W 42 St & Dyer Ave,0.0,1.0
W 44 St & 5 Ave,0.0,2.0
W 51 St & 6 Ave,1.0,1.0
W 52 St & 11 Ave,0.0,1.0
W 52 St & 5 Ave,0.0,7.0
W 54 St & 6 Ave,0.0,8.0
W 56 St & 8 Ave,0.0,6.0
W 82 St & Central Park West,1.0,0.0
W 92 St & Broadway,0.0,1.0
W 95 St & Broadway,0.0,1.0
W Broadway & Watts St,0.0,1.0
Walker St & Baxter St,0.0,1.0
Warren St,2448.0,2397.0
Warren St & W Broadway,0.0,1.0
Washington Pl & 6 Ave,0.0,1.0
Washington Square E,0.0,1.0
Washington St,2353.0,2359.0
Washington St & Laight St,0.0,9.0
Water St & Gouverneur Ln,0.0,3.0
Watts St & Greenwich St,0.0,1.0
West End Ave & W 60 St,0.0,1.0
West St & Chambers St,0.0,8.0
White St & Johnson Ave,0.0,1.0
William St & Pine St,0.0,4.0
Willoughby Ave & Tompkins Ave,0.0,1.0
Willow Ave & 12 St,2046.0,2031.0
York St & Marin Blvd,640.0,670.0
